Product_name,Unit Price,User,Ratings,Comment_head,Comments
"APPLE iPhone 13 (Pink, 128 GB) ","₹69,900",Mahim Chauhan,5,Brilliant,I switch to ios from android after 10 years so this review might help for migratorsIt’s been a month using the iPhone13 and this was my experience1. Design - its simple and no nonsense design . Expect white and pink rest of the colours are fingerprint magnets.  I have seen all the colours and I highly recommend the pink . It’s so light pink which makes it not girlish. See it for yourself it really looks so premium in light pink colour. For rest of it except white the aluminium frame wil...
"APPLE iPhone 13 (Pink, 128 GB) ","₹69,900",Vaibhav  Raj,5,Fabulous!,"Amazing beast....As expected , didn't disappoint me,Had to sell hard chunk of kidneys to get it !!;pCamera quality is definitely a super upgradeBattery is super.. easily last throughout the day with heavy usage.Light weight looks stylish what else you need??Starlight color just wow!!!Apple it would have been better if you should  have given an adaptor. Increase 2k price and give it in box!!!Simple ....Edit 1 : After 14 days of usage highly satisfied with battery performance, Last thr..."
"APPLE iPhone 13 (Pink, 128 GB) ","₹69,900",Pabitra Biswas,5,Worth every penny,Day 2 Review: Display shows great color. Performance was consistent since day one. All the small things you need to make a good phone is here.
"APPLE iPhone 13 (Pink, 128 GB) ","₹69,900",Flipkart Customer,5,Perfect product!,Awesome camera Amazing battery life Super xdr display is 💕👌🏻Playing games and day to day task are smooth Face ID is superbiOS 15 is really awesome 🤩 thanks to Apple
"APPLE iPhone 13 (Pink, 128 GB) ","₹69,900",Vishal Dubey,5,Must buy!,Just upgraded from 11 to iPhone 13 ..cinematic mode video awesome camera awesome display awesome Looks A1 battery life is also good.New filter mode in camera added
"APPLE iPhone 13 (Pink, 128 GB) ","₹69,900",Satwinder  Singh,5,Brilliant,"Very impressed with this order.. i phone 13 best in class , awsm camera quality, fastest in speed,Very happy with my product"
"APPLE iPhone 13 (Pink, 128 GB) ","₹69,900",Nithesh Nayak,5,Must buy!,"That was quick delivery by FLIPKART.Box is so compact and light weight, for a moment I had doubt whether box has Mobile or not. Product Red iPhone 13 is actually RED this time. Feels comfortable when you hold in hand. Feels light and more like big brother of iPhone 5s.Selfie camera is great and battery seems better than iphone 12"
"APPLE iPhone 13 (Pink, 128 GB) ","₹69,900",ritu mishra,5,Terrific purchase,It's  just mind-blowing  I have switched from Android to iOS it feels fantastic. The  alluring effect and  the fascinated color it's top notch. I was hesitating to buy online but one can completely rely on. Special thanks to ekart and flipkart to deliver only in 2days delivery is quick  and trustworthy.
"APPLE iPhone 13 (Pink, 128 GB) ","₹69,900",Amit Kumar,5,Fabulous!,Just shifted from Android to iOS .. awesome experience. Much improved software than android. Everyday u can learn something new..                                                                    Camera quality is superb..even in low light great performance..Battery and audio quality ..both are great
"APPLE iPhone 13 (Pink, 128 GB) ","₹69,900",Diptanil Debbarma,5,Classy product,The most premium feeling I ever had while holding a phone was of this iphone 13.This is my first iPhone apart from having ipad pro but i can guarentee you that it had the most premium in hand experience.The flipkart service was awesome and it got delivered before expected date. Hats off! Overall an excellent experience it was. An iphone is not hyped just for no reason. 👌
"APPLE iPhone 13 (Midnight, 128 GB) ","₹69,900",Chinmoy Borah,5,Terrific,Awesome PHONE ALWAYS BEEN A IOS FAN
"APPLE iPhone 13 (Starlight, 128 GB) ","₹69,900",Faiz,4,Good choice,Satisfied
"APPLE iPhone 13 (Midnight, 128 GB) ","₹69,900",Garima Singh,5,Brilliant,"Camera quality, performance, battery ,everything is up to mark."
"APPLE iPhone 13 (Starlight, 128 GB) ","₹69,900",Sanoop A K,5,Classy product,"First of all, this is a nice switch from Android in terms of software experience and optimizations.The kind of performance this iPhone offers is incredible. Even though this one is not having high screen refresh rates, it performs well compared to most of the android devices. Camera performance is fantastic, especially the cinematic mode is whole new experience.So far, under minimal calls, normal usage (like checking notifications atleast once in an hour), atleast 2 hours of streaming video..."
"APPLE iPhone 13 (Midnight, 128 GB) ","₹69,900",Vicky Patra,5,Classy product,Just loved this phone.
"APPLE iPhone 13 (Starlight, 128 GB) ","₹69,900",Pranjal  Das,5,Fabulous!,"Reviewing after almost 1month of usage. Excellent camera, superb display, awesome in-hand feel, powerful performance. Super happy with the purchase. Battery backup is the only concern. Apple must work to provide better battery performance."
"APPLE iPhone 13 (Midnight, 128 GB) ","₹69,900",Shivangi Desai,5,Simply awesome,"Totally worth the price, better battery backup, amazing photos and videos."
"APPLE iPhone 13 (Midnight, 128 GB) ","₹69,900",Saheb Sonkar,5,Best in the market!,Fabulous performance.
"APPLE iPhone 13 (Starlight, 128 GB) ","₹69,900",NURAIN AHMAD,5,Great product,"What a phone superb performance before this i had one plus 7 pro that was also a good phone but it is a gem 💎 it has better camera better battery backup i charged it once in 36hrs, so that is really amazing for me."
"APPLE iPhone 13 (Midnight, 128 GB) ","₹69,900",Aniket Tyagi,5,Highly recommended,If u have enough money .. surely GO FOR ITAlthogh there is no big difference between 12 and 13 but diagonal cameras make it look different and unique from others Pro level mobile.. these are just simple images taken randomly
"APPLE iPhone 13 (Starlight, 128 GB) ","₹69,900",Vikas Kumar,5,Highly recommended,I am very pleased that I bought the original iphone 13. Excellent and fast delivery. I've been waiting for him for a long.
"APPLE iPhone 13 (Midnight, 128 GB) ","₹69,900",Raj Patre,5,Great product,Best iOS as usual every year
